block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.keys,key_stroop.corr,key_stroop.rt,key_stroop.stopped,participant,date,expName,psychopyVersion,frameRate,
b2,stroop_trial_condtions/b2.xlsx,0.9668213022564922,1,congruent,BLUE,blue,d,distractors/2.wav,,,,,0,1,1,1,0,3,3,21,544.9223028999986,d,1,0.8783153000003949,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.14441839566692105,1,congruent,GREEN,green,s,distractors/1.wav,,,,,0,1,1,1,0,4,4,43,549.4372011000014,s,1,1.1591977000025508,551.4363040999997,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.5007983240031381,1,incongruent,BLUE,green,s,distractors/1.wav,,,,,0,1,1,1,0,5,5,18,553.9364679999999,s,1,0.9682008000017959,555.9520034999987,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.06730533561031782,1,incongruent,BLUE,yellow,f,distractors/3.wav,,,,,0,1,1,1,0,6,6,26,558.4508190999986,f,1,1.0737740000004123,560.4505710000012,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.041649080139953165,1,incongruent,RED,yellow,f,distractors/4.wav,,,,,0,1,1,1,0,7,7,2,562.9658552000001,f,1,0.9907535000020289,564.9651139999987,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.255397179890806,1,congruent,YELLOW,yellow,f,distractors/1.wav,,,,,0,1,1,1,0,8,8,45,567.4808900999997,f,1,1.2377645000015036,569.4801549000003,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.7676806241710538,1,congruent,BLUE,blue,d,distractors/3.wav,,,,,0,1,1,1,0,9,9,32,571.9794137999997,d,1,1.0878851000015857,573.9789454999991,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.3293331866279865,1,incongruent,YELLOW,green,s,distractors/2.wav,,,,,0,1,1,1,0,10,10,6,576.4777036000014,s,1,1.2450006999970356,578.4774164999981,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.8140627153069117,1,congruent,BLUE,blue,d,distractors/2.wav,,,,,0,1,1,1,0,11,11,36,580.9932208999999,d,1,0.9714332000003196,582.9925364999981,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.33083395410092575,1,incongruent,BLUE,yellow,f,distractors/4.wav,,,,,0,1,1,1,0,12,12,5,585.4761590999988,f,1,0.950340800001868,587.476064399998,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.4889714654954811,1,incongruent,BLUE,red,a,distractors/4.wav,,,,,0,1,1,1,0,13,13,29,589.9593741999997,a,1,0.9837636999982351,591.9775475999995,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.828978615866739,1,incongruent,RED,yellow,f,distractors/4.wav,,,,,0,1,1,1,0,14,14,31,594.4717725999981,f,1,0.928934699997626,596.4714118000011,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.08769688168855672,1,incongruent,RED,green,s,distractors/3.wav,,,,,0,1,1,1,0,15,15,47,598.9872051999992,s,1,1.3097739000004367,600.9863207999988,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.21174317193635972,1,congruent,YELLOW,yellow,f,distractors/2.wav,,,,,0,1,1,1,0,16,16,38,603.5023509999992,f,1,0.936421500002325,605.5013298999984,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.2950231286066718,1,incongruent,BLUE,red,a,distractors/1.wav,,,,,0,1,1,1,0,17,17,37,608.0176064000007,a,1,1.0249936000000162,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.8135146664790234,1,incongruent,GREEN,red,a,distractors/3.wav,,,,,0,1,1,1,0,18,18,40,612.5318716000002,a,1,0.8944889000013063,614.5315267000005,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.3400635619663932,1,congruent,YELLOW,yellow,f,distractors/3.wav,,,,,0,1,1,1,0,19,19,12,617.0309858,f,1,0.9797312999980932,619.0299196000014,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.5030786504893666,1,incongruent,YELLOW,green,s,distractors/4.wav,,,,,0,1,1,1,0,20,20,19,621.5459628999997,s,1,1.170185599999968,623.5454731999998,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.5317591854488619,1,congruent,YELLOW,yellow,f,distractors/2.wav,,,,,0,1,1,1,0,21,21,34,626.0443344999985,f,1,0.9342273000002024,628.0437429000012,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.4249079497252247,1,congruent,GREEN,green,s,distractors/2.wav,,,,,0,1,1,1,0,22,22,4,630.559945099998,s,1,1.028536300000269,632.5599726,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.7962676920675457,1,incongruent,RED,blue,d,distractors/4.wav,,,,,0,1,1,1,0,23,23,46,635.0598179000008,d,1,1.2908107000002929,637.060953199998,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.19636652195914828,1,incongruent,GREEN,red,a,distractors/1.wav,,,,,0,1,1,1,0,24,24,9,639.5567004000004,a,1,1.5165861999994377,641.5558683999989,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.10839814050721508,1,incongruent,RED,green,s,distractors/1.wav,,,,,0,1,1,1,0,25,25,14,644.0549045000007,s,1,1.1500252000005275,646.0544166,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.8857086195357853,1,congruent,BLUE,blue,d,distractors/1.wav,,,,,0,1,1,1,0,26,26,16,648.5533603000003,d,1,1.4064020000005257,650.5527051999998,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.4832744640468789,1,congruent,YELLOW,yellow,f,distractors/1.wav,,,,,0,1,1,1,0,27,27,24,653.0684652999989,f,1,1.0555521999995108,655.0679649999984,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.3614790911510004,1,congruent,GREEN,green,s,distractors/1.wav,,,,,0,1,1,1,0,28,28,17,657.5668450000012,s,1,0.8890363999998954,659.5656345999996,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.7131950070563138,1,congruent,GREEN,green,s,distractors/2.wav,,,,,0,1,1,1,0,29,29,10,662.0657257999992,s,1,1.040695699997741,664.0812407000012,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.8384300714767312,1,congruent,RED,red,a,distractors/1.wav,,,,,0,1,1,1,0,30,30,25,666.5805179999988,a,1,0.8875677999967593,668.5799616000004,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.06502382441476195,1,incongruent,GREEN,yellow,f,distractors/1.wav,,,,,0,1,1,1,0,31,31,7,671.0791432000005,f,1,1.0111885999976948,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.16494802758791438,1,congruent,GREEN,green,s,distractors/4.wav,,,,,0,1,1,1,0,32,32,23,675.5943752999992,s,1,1.100035100000241,677.5937715,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.10715468186921961,1,incongruent,BLUE,green,s,distractors/3.wav,,,,,0,1,1,1,0,33,33,33,680.0937678000009,s,1,1.1329454999977315,682.093718600001,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.4926856322739591,1,congruent,RED,red,a,distractors/4.wav,,,,,0,1,1,1,0,34,34,27,684.5773426000014,a,1,1.714963300000818,686.5908992000004,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.03433248455064386,1,incongruent,YELLOW,red,a,distractors/2.wav,,,,,0,1,1,1,0,35,35,13,689.0898258999987,a,1,1.020097500000702,691.088728499999,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.011991741755762342,1,congruent,RED,red,a,distractors/4.wav,,,,,0,1,1,1,0,36,36,42,693.5878793999982,a,1,0.8106133000001137,695.5875668000008,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.5666506333865139,1,incongruent,GREEN,yellow,f,distractors/3.wav,,,,,0,1,1,1,0,37,37,0,698.0868846999983,f,1,1.1735417999989295,700.0861923999983,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
