block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,Type,direction,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b2,stroop_trial_condtions/b2.xlsx,0.492685632,1,congruent,RED,red,a,distractors/4.wav,,,,,,,0,1,1,1,0,29,29,27,593.2455761,,a,1,0.8653555,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.324070625,1,congruent,YELLOW,yellow,f,distractors/3.wav,,,,,,,0,1,1,1,0,30,30,15,597.7600218,599.7593886,f,1,1.1215514,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.814062715,1,congruent,BLUE,blue,d,distractors/2.wav,,,,,,,0,1,1,1,0,31,31,36,602.2751342,604.2747593,d,1,0.7531188,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.566650633,1,incongruent,GREEN,yellow,f,distractors/3.wav,,,,,,,0,1,1,1,0,32,32,0,606.7573058,608.7578612,f,1,0.8875236,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.340063562,1,congruent,YELLOW,yellow,f,distractors/3.wav,,,,,,,0,1,1,1,0,33,33,12,611.2575885,613.257823,f,1,0.7179574,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.767680624,1,congruent,BLUE,blue,d,distractors/3.wav,,,,,,,0,1,1,1,0,34,34,32,615.7540354,617.7696089,d,1,1.0184043,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.522476173,1,incongruent,RED,blue,d,distractors/1.wav,,,,,,,0,1,1,1,0,35,35,20,620.2687252,622.2681373,d,1,1.0968327,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.144418396,1,congruent,GREEN,green,s,distractors/1.wav,,,,,,,0,1,1,1,0,36,36,43,624.7840311,626.7835243,s,1,0.8796834,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.666141953,1,congruent,RED,red,a,distractors/2.wav,,,,,,,0,1,1,1,0,37,37,3,629.2993593,631.2988603,a,1,0.7926288,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.88570862,1,congruent,BLUE,blue,d,distractors/1.wav,,,,,,,0,1,1,1,0,38,38,16,633.79783,,d,1,1.1925383,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.713195007,1,congruent,GREEN,green,s,distractors/2.wav,,,,,,,0,1,1,1,0,39,39,10,638.3132493,640.3129899,s,1,1.1042985,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.50307865,1,incongruent,YELLOW,green,s,distractors/4.wav,,,,,,,0,1,1,1,0,40,40,19,642.8115848,644.8106115,s,1,0.8584565,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.629589964,1,congruent,RED,red,a,distractors/2.wav,,,,,,,0,1,1,1,0,41,41,11,647.3268361,649.3261814,a,1,0.7709939,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.330833954,1,incongruent,BLUE,yellow,f,distractors/4.wav,,,,,,,0,1,1,1,0,42,42,5,651.8251811,653.8246509,f,1,0.9548967,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.295023129,1,incongruent,BLUE,red,a,distractors/1.wav,,,,,,,0,1,1,1,0,43,43,37,656.3083054,658.3083495,a,1,0.9237533,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.164948028,1,congruent,GREEN,green,s,distractors/4.wav,,,,,,,0,1,1,1,0,44,44,23,660.8084025,662.8251614,s,1,1.0837936,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.011991742,1,congruent,RED,red,a,distractors/4.wav,,,,,,,0,1,1,1,0,45,45,42,665.3207423,667.3202243,a,1,0.9000826,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.858613787,1,incongruent,YELLOW,blue,d,distractors/3.wav,,,,,,,0,1,1,1,0,46,46,44,669.8363709,671.8349623,d,1,1.283044,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.128195372,1,incongruent,YELLOW,red,a,distractors/3.wav,,,,,,,0,1,1,1,0,47,47,35,674.3344386,,a,1,0.8331141,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b3,stroop_trial_condtions/b1.xlsx,0.249190077,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,2,2,2,0,0,0,16,746.1602184,748.1596675,f,1,1.1978861,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b3,stroop_trial_condtions/b1.xlsx,0.744564924,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,2,2,2,0,1,1,42,750.6765384,752.6764903,d,0,1.0432853,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b3,stroop_trial_condtions/b1.xlsx,0.63243718,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,,,0,2,2,2,0,2,2,19,755.1598546,757.1596589,d,1,1.206117,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
